legacy_url	new_url	anchor	page	duplicate
https://docs.arcadedb.com/#vector-dotproduct-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-dotproduct-ext	vector-dotproduct-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-embeddings-howto	https://docs.arcadedb.com/arcadedb/how-to/data-modeling/vector-embeddings.html	vector-embeddings-howto	how-to/data-modeling/vector-embeddings.adoc	0
https://docs.arcadedb.com/#vector-functions	https://docs.arcadedb.com/arcadedb/reference/vector-functions/chapter.html	vector-functions	reference/vector-functions/chapter.adoc	0
https://docs.arcadedb.com/#vector-has-inf	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-has-inf	vector-has-inf	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-has-nan	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-has-nan	vector-has-nan	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-hasinf-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-hasinf-ext	vector-hasinf-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-hasnan-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-hasnan-ext	vector-hasnan-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-hybrid-score	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-hybrid-score	vector-hybrid-score	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-hybridscore-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-hybridscore-ext	vector-hybridscore-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-is-normalized	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-is-normalized	vector-is-normalized	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-is-normalized-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-is-normalized-ext	vector-is-normalized-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-l1-norm	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-l1-norm	vector-l1-norm	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-l1norm-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-l1norm-ext	vector-l1norm-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-l2-distance	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-l2-distance	vector-l2-distance	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-l2distance-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-l2distance-ext	vector-l2distance-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-linf-norm	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-linf-norm	vector-linf-norm	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-linfnorm-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-linfnorm-ext	vector-linfnorm-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-magnitude	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-magnitude	vector-magnitude	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-magnitude-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-magnitude-ext	vector-magnitude-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-manipulation	https://docs.arcadedb.com/arcadedb/reference/vector-functions/manipulation.html	vector-manipulation	reference/vector-functions/manipulation.adoc	0
https://docs.arcadedb.com/#vector-max	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-max	vector-max	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-max-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-max-ext	vector-max-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-min	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-min	vector-min	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-min-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-min-ext	vector-min-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-model	https://docs.arcadedb.com/arcadedb/concepts/vector-search.html	vector-model	concepts/vector-search.adoc	1
https://docs.arcadedb.com/#vector-multi-score	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-multi-score	vector-multi-score	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-multiscore-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-multiscore-ext	vector-multiscore-ext	reference/extended-functions.adoc	0
